ConfigKey,Value,Description,Category
TotalLayers,8,爬塔总层数,Map
MinNodesPerLayer,2,每层最少节点数,Map
MaxNodesPerLayer,4,每层最多节点数,Map
MinConnections,1,每个节点最少连接数,Map
MaxConnections,3,每个节点最多连接数,Map
RestLayerInterval,3,休息点出现间隔层数,Map
StartingHealth,30,玩家初始生命值,Player
StartingEnergy,3,玩家初始能量,Player
StartingGold,0,玩家初始金币,Player
CombatBaseReward,10,战斗基础金币奖励,Rewards
CombatLayerBonus,5,战斗每层额外金币奖励,Rewards
TreasureBaseGold,25,宝箱基础金币奖励,Rewards
TreasureLayerBonus,10,宝箱每层额外金币奖励,Rewards
RestHealPercent,0.3,休息点恢复生命值比例,Healing
BossHealthMultiplier,1.5,Boss生命值倍数,Combat
BossEnergyBonus,1,Boss额外能量,Combat
TowerCompletionReward,100,完成爬塔基础奖励,Rewards
TowerCompletionLayerBonus,20,完成爬塔每层额外奖励,Rewards 
